area_code,area_name,period,n,group
E08000001,Bolton,2018-10-01,257,Electric vehicles
E08000002,Bury,2018-10-01,293,Electric vehicles
E08000003,Manchester,2018-10-01,449,Electric vehicles
E08000004,Oldham,2018-10-01,195,Electric vehicles
E08000005,Rochdale,2018-10-01,247,Electric vehicles
E08000006,Salford,2018-10-01,311,Electric vehicles
E08000007,Stockport,2018-10-01,522,Electric vehicles
E08000008,Tameside,2018-10-01,197,Electric vehicles
E08000009,Trafford,2018-10-01,465,Electric vehicles
E08000010,Wigan,2018-10-01,324,Electric vehicles
E08000001,Bolton,2018-07-01,238,Electric vehicles
E08000002,Bury,2018-07-01,250,Electric vehicles
E08000003,Manchester,2018-07-01,425,Electric vehicles
E08000004,Oldham,2018-07-01,196,Electric vehicles
E08000005,Rochdale,2018-07-01,232,Electric vehicles
E08000006,Salford,2018-07-01,293,Electric vehicles
E08000007,Stockport,2018-07-01,480,Electric vehicles
E08000008,Tameside,2018-07-01,185,Electric vehicles
E08000009,Trafford,2018-07-01,448,Electric vehicles
E08000010,Wigan,2018-07-01,305,Electric vehicles
E08000001,Bolton,2018-04-01,224,Electric vehicles
E08000002,Bury,2018-04-01,226,Electric vehicles
E08000003,Manchester,2018-04-01,398,Electric vehicles
E08000004,Oldham,2018-04-01,178,Electric vehicles
E08000005,Rochdale,2018-04-01,210,Electric vehicles
E08000006,Salford,2018-04-01,270,Electric vehicles
E08000007,Stockport,2018-04-01,429,Electric vehicles
E08000008,Tameside,2018-04-01,170,Electric vehicles
E08000009,Trafford,2018-04-01,402,Electric vehicles
E08000010,Wigan,2018-04-01,296,Electric vehicles
E08000001,Bolton,2018-01-01,207,Electric vehicles
E08000002,Bury,2018-01-01,263,Electric vehicles
E08000003,Manchester,2018-01-01,376,Electric vehicles
E08000004,Oldham,2018-01-01,170,Electric vehicles
E08000005,Rochdale,2018-01-01,195,Electric vehicles
E08000006,Salford,2018-01-01,260,Electric vehicles
E08000007,Stockport,2018-01-01,398,Electric vehicles
E08000008,Tameside,2018-01-01,155,Electric vehicles
E08000009,Trafford,2018-01-01,359,Electric vehicles
E08000010,Wigan,2018-01-01,281,Electric vehicles
E08000001,Bolton,2017-10-01,183,Electric vehicles
E08000002,Bury,2017-10-01,354,Electric vehicles
E08000003,Manchester,2017-10-01,342,Electric vehicles
E08000004,Oldham,2017-10-01,159,Electric vehicles
E08000005,Rochdale,2017-10-01,176,Electric vehicles
E08000006,Salford,2017-10-01,241,Electric vehicles
E08000007,Stockport,2017-10-01,343,Electric vehicles
E08000008,Tameside,2017-10-01,147,Electric vehicles
E08000009,Trafford,2017-10-01,332,Electric vehicles
E08000010,Wigan,2017-10-01,256,Electric vehicles
E08000001,Bolton,2017-07-01,176,Electric vehicles
E08000002,Bury,2017-07-01,330,Electric vehicles
E08000003,Manchester,2017-07-01,295,Electric vehicles
E08000004,Oldham,2017-07-01,149,Electric vehicles
E08000005,Rochdale,2017-07-01,169,Electric vehicles
E08000006,Salford,2017-07-01,235,Electric vehicles
E08000007,Stockport,2017-07-01,328,Electric vehicles
E08000008,Tameside,2017-07-01,137,Electric vehicles
E08000009,Trafford,2017-07-01,310,Electric vehicles
E08000010,Wigan,2017-07-01,243,Electric vehicles
E08000001,Bolton,2017-04-01,163,Electric vehicles
E08000002,Bury,2017-04-01,257,Electric vehicles
E08000003,Manchester,2017-04-01,270,Electric vehicles
E08000004,Oldham,2017-04-01,145,Electric vehicles
E08000005,Rochdale,2017-04-01,149,Electric vehicles
E08000006,Salford,2017-04-01,231,Electric vehicles
E08000007,Stockport,2017-04-01,282,Electric vehicles
E08000008,Tameside,2017-04-01,115,Electric vehicles
E08000009,Trafford,2017-04-01,273,Electric vehicles
E08000010,Wigan,2017-04-01,221,Electric vehicles
E08000001,Bolton,2017-01-01,158,Electric vehicles
E08000002,Bury,2017-01-01,244,Electric vehicles
E08000003,Manchester,2017-01-01,255,Electric vehicles
E08000004,Oldham,2017-01-01,140,Electric vehicles
E08000005,Rochdale,2017-01-01,131,Electric vehicles
E08000006,Salford,2017-01-01,224,Electric vehicles
E08000007,Stockport,2017-01-01,247,Electric vehicles
E08000008,Tameside,2017-01-01,105,Electric vehicles
E08000009,Trafford,2017-01-01,245,Electric vehicles
E08000010,Wigan,2017-01-01,208,Electric vehicles
E08000001,Bolton,2016-10-01,144,Electric vehicles
E08000002,Bury,2016-10-01,194,Electric vehicles
E08000003,Manchester,2016-10-01,231,Electric vehicles
E08000004,Oldham,2016-10-01,135,Electric vehicles
E08000005,Rochdale,2016-10-01,118,Electric vehicles
E08000006,Salford,2016-10-01,206,Electric vehicles
E08000007,Stockport,2016-10-01,221,Electric vehicles
E08000008,Tameside,2016-10-01,95,Electric vehicles
E08000009,Trafford,2016-10-01,209,Electric vehicles
E08000010,Wigan,2016-10-01,178,Electric vehicles
E08000001,Bolton,2016-07-01,134,Electric vehicles
E08000002,Bury,2016-07-01,186,Electric vehicles
E08000003,Manchester,2016-07-01,229,Electric vehicles
E08000004,Oldham,2016-07-01,131,Electric vehicles
E08000005,Rochdale,2016-07-01,113,Electric vehicles
E08000006,Salford,2016-07-01,202,Electric vehicles
E08000007,Stockport,2016-07-01,203,Electric vehicles
E08000008,Tameside,2016-07-01,89,Electric vehicles
E08000009,Trafford,2016-07-01,192,Electric vehicles
E08000010,Wigan,2016-07-01,167,Electric vehicles
E08000001,Bolton,2016-04-01,124,Electric vehicles
E08000002,Bury,2016-04-01,208,Electric vehicles
E08000003,Manchester,2016-04-01,208,Electric vehicles
E08000004,Oldham,2016-04-01,132,Electric vehicles
E08000005,Rochdale,2016-04-01,102,Electric vehicles
E08000006,Salford,2016-04-01,195,Electric vehicles
E08000007,Stockport,2016-04-01,178,Electric vehicles
E08000008,Tameside,2016-04-01,86,Electric vehicles
E08000009,Trafford,2016-04-01,209,Electric vehicles
E08000010,Wigan,2016-04-01,162,Electric vehicles
E08000001,Bolton,2016-01-01,120,Electric vehicles
E08000002,Bury,2016-01-01,255,Electric vehicles
E08000003,Manchester,2016-01-01,164,Electric vehicles
E08000004,Oldham,2016-01-01,128,Electric vehicles
E08000005,Rochdale,2016-01-01,90,Electric vehicles
E08000006,Salford,2016-01-01,186,Electric vehicles
E08000007,Stockport,2016-01-01,170,Electric vehicles
E08000008,Tameside,2016-01-01,77,Electric vehicles
E08000009,Trafford,2016-01-01,183,Electric vehicles
E08000010,Wigan,2016-01-01,150,Electric vehicles
E08000001,Bolton,2015-10-01,102,Electric vehicles
E08000002,Bury,2015-10-01,238,Electric vehicles
E08000003,Manchester,2015-10-01,139,Electric vehicles
E08000004,Oldham,2015-10-01,122,Electric vehicles
E08000005,Rochdale,2015-10-01,71,Electric vehicles
E08000006,Salford,2015-10-01,169,Electric vehicles
E08000007,Stockport,2015-10-01,145,Electric vehicles
E08000008,Tameside,2015-10-01,60,Electric vehicles
E08000009,Trafford,2015-10-01,146,Electric vehicles
E08000010,Wigan,2015-10-01,133,Electric vehicles
E08000001,Bolton,2015-07-01,80,Electric vehicles
E08000002,Bury,2015-07-01,170,Electric vehicles
E08000003,Manchester,2015-07-01,132,Electric vehicles
E08000004,Oldham,2015-07-01,102,Electric vehicles
E08000005,Rochdale,2015-07-01,61,Electric vehicles
E08000006,Salford,2015-07-01,164,Electric vehicles
E08000007,Stockport,2015-07-01,135,Electric vehicles
E08000008,Tameside,2015-07-01,55,Electric vehicles
E08000009,Trafford,2015-07-01,120,Electric vehicles
E08000010,Wigan,2015-07-01,103,Electric vehicles
E08000001,Bolton,2015-04-01,64,Electric vehicles
E08000002,Bury,2015-04-01,156,Electric vehicles
E08000003,Manchester,2015-04-01,114,Electric vehicles
E08000004,Oldham,2015-04-01,86,Electric vehicles
E08000005,Rochdale,2015-04-01,55,Electric vehicles
E08000006,Salford,2015-04-01,151,Electric vehicles
E08000007,Stockport,2015-04-01,119,Electric vehicles
E08000008,Tameside,2015-04-01,41,Electric vehicles
E08000009,Trafford,2015-04-01,99,Electric vehicles
E08000010,Wigan,2015-04-01,84,Electric vehicles
E08000001,Bolton,2015-01-01,51,Electric vehicles
E08000002,Bury,2015-01-01,155,Electric vehicles
E08000003,Manchester,2015-01-01,107,Electric vehicles
E08000004,Oldham,2015-01-01,80,Electric vehicles
E08000005,Rochdale,2015-01-01,42,Electric vehicles
E08000006,Salford,2015-01-01,144,Electric vehicles
E08000007,Stockport,2015-01-01,105,Electric vehicles
E08000008,Tameside,2015-01-01,30,Electric vehicles
E08000009,Trafford,2015-01-01,73,Electric vehicles
E08000010,Wigan,2015-01-01,76,Electric vehicles
E08000001,Bolton,2014-10-01,43,Electric vehicles
E08000002,Bury,2014-10-01,98,Electric vehicles
E08000003,Manchester,2014-10-01,89,Electric vehicles
E08000004,Oldham,2014-10-01,65,Electric vehicles
E08000005,Rochdale,2014-10-01,33,Electric vehicles
E08000006,Salford,2014-10-01,137,Electric vehicles
E08000007,Stockport,2014-10-01,84,Electric vehicles
E08000008,Tameside,2014-10-01,25,Electric vehicles
E08000009,Trafford,2014-10-01,55,Electric vehicles
E08000010,Wigan,2014-10-01,67,Electric vehicles
E08000001,Bolton,2014-07-01,38,Electric vehicles
E08000002,Bury,2014-07-01,91,Electric vehicles
E08000003,Manchester,2014-07-01,78,Electric vehicles
E08000004,Oldham,2014-07-01,59,Electric vehicles
E08000005,Rochdale,2014-07-01,26,Electric vehicles
E08000006,Salford,2014-07-01,128,Electric vehicles
E08000007,Stockport,2014-07-01,68,Electric vehicles
E08000008,Tameside,2014-07-01,12,Electric vehicles
E08000009,Trafford,2014-07-01,38,Electric vehicles
E08000010,Wigan,2014-07-01,50,Electric vehicles
E08000001,Bolton,2014-04-01,34,Electric vehicles
E08000002,Bury,2014-04-01,47,Electric vehicles
E08000003,Manchester,2014-04-01,69,Electric vehicles
E08000004,Oldham,2014-04-01,37,Electric vehicles
E08000005,Rochdale,2014-04-01,21,Electric vehicles
E08000006,Salford,2014-04-01,117,Electric vehicles
E08000007,Stockport,2014-04-01,52,Electric vehicles
E08000008,Tameside,2014-04-01,10,Electric vehicles
E08000009,Trafford,2014-04-01,33,Electric vehicles
E08000010,Wigan,2014-04-01,38,Electric vehicles
E08000001,Bolton,2014-01-01,26,Electric vehicles
E08000002,Bury,2014-01-01,18,Electric vehicles
E08000003,Manchester,2014-01-01,59,Electric vehicles
E08000004,Oldham,2014-01-01,23,Electric vehicles
E08000005,Rochdale,2014-01-01,14,Electric vehicles
E08000006,Salford,2014-01-01,112,Electric vehicles
E08000007,Stockport,2014-01-01,46,Electric vehicles
E08000008,Tameside,2014-01-01,5,Electric vehicles
E08000009,Trafford,2014-01-01,28,Electric vehicles
E08000010,Wigan,2014-01-01,32,Electric vehicles
E08000001,Bolton,2013-10-01,23,Electric vehicles
E08000002,Bury,2013-10-01,12,Electric vehicles
E08000003,Manchester,2013-10-01,45,Electric vehicles
E08000004,Oldham,2013-10-01,20,Electric vehicles
E08000005,Rochdale,2013-10-01,11,Electric vehicles
E08000006,Salford,2013-10-01,109,Electric vehicles
E08000007,Stockport,2013-10-01,40,Electric vehicles
E08000008,Tameside,2013-10-01,5,Electric vehicles
E08000009,Trafford,2013-10-01,24,Electric vehicles
E08000010,Wigan,2013-10-01,30,Electric vehicles
E08000001,Bolton,2013-07-01,19,Electric vehicles
E08000002,Bury,2013-07-01,11,Electric vehicles
E08000003,Manchester,2013-07-01,44,Electric vehicles
E08000004,Oldham,2013-07-01,17,Electric vehicles
E08000005,Rochdale,2013-07-01,9,Electric vehicles
E08000006,Salford,2013-07-01,101,Electric vehicles
E08000007,Stockport,2013-07-01,43,Electric vehicles
E08000008,Tameside,2013-07-01,NA,Electric vehicles
E08000009,Trafford,2013-07-01,25,Electric vehicles
E08000010,Wigan,2013-07-01,31,Electric vehicles
E08000001,Bolton,2013-04-01,15,Electric vehicles
E08000002,Bury,2013-04-01,7,Electric vehicles
E08000003,Manchester,2013-04-01,37,Electric vehicles
E08000004,Oldham,2013-04-01,12,Electric vehicles
E08000005,Rochdale,2013-04-01,6,Electric vehicles
E08000006,Salford,2013-04-01,75,Electric vehicles
E08000007,Stockport,2013-04-01,35,Electric vehicles
E08000008,Tameside,2013-04-01,NA,Electric vehicles
E08000009,Trafford,2013-04-01,20,Electric vehicles
E08000010,Wigan,2013-04-01,28,Electric vehicles
E08000001,Bolton,2013-01-01,10,Electric vehicles
E08000002,Bury,2013-01-01,6,Electric vehicles
E08000003,Manchester,2013-01-01,32,Electric vehicles
E08000004,Oldham,2013-01-01,12,Electric vehicles
E08000005,Rochdale,2013-01-01,5,Electric vehicles
E08000006,Salford,2013-01-01,52,Electric vehicles
E08000007,Stockport,2013-01-01,32,Electric vehicles
E08000008,Tameside,2013-01-01,NA,Electric vehicles
E08000009,Trafford,2013-01-01,18,Electric vehicles
E08000010,Wigan,2013-01-01,28,Electric vehicles
E08000001,Bolton,2012-10-01,8,Electric vehicles
E08000002,Bury,2012-10-01,NA,Electric vehicles
E08000003,Manchester,2012-10-01,30,Electric vehicles
E08000004,Oldham,2012-10-01,8,Electric vehicles
E08000005,Rochdale,2012-10-01,NA,Electric vehicles
E08000006,Salford,2012-10-01,54,Electric vehicles
E08000007,Stockport,2012-10-01,29,Electric vehicles
E08000008,Tameside,2012-10-01,NA,Electric vehicles
E08000009,Trafford,2012-10-01,16,Electric vehicles
E08000010,Wigan,2012-10-01,25,Electric vehicles
E08000001,Bolton,2012-07-01,7,Electric vehicles
E08000002,Bury,2012-07-01,5,Electric vehicles
E08000003,Manchester,2012-07-01,26,Electric vehicles
E08000004,Oldham,2012-07-01,8,Electric vehicles
E08000005,Rochdale,2012-07-01,NA,Electric vehicles
E08000006,Salford,2012-07-01,53,Electric vehicles
E08000007,Stockport,2012-07-01,25,Electric vehicles
E08000008,Tameside,2012-07-01,NA,Electric vehicles
E08000009,Trafford,2012-07-01,15,Electric vehicles
E08000010,Wigan,2012-07-01,29,Electric vehicles
E08000001,Bolton,2012-04-01,8,Electric vehicles
E08000002,Bury,2012-04-01,NA,Electric vehicles
E08000003,Manchester,2012-04-01,23,Electric vehicles
E08000004,Oldham,2012-04-01,9,Electric vehicles
E08000005,Rochdale,2012-04-01,NA,Electric vehicles
E08000006,Salford,2012-04-01,51,Electric vehicles
E08000007,Stockport,2012-04-01,20,Electric vehicles
E08000008,Tameside,2012-04-01,NA,Electric vehicles
E08000009,Trafford,2012-04-01,13,Electric vehicles
E08000010,Wigan,2012-04-01,29,Electric vehicles
E08000001,Bolton,2012-01-01,6,Electric vehicles
E08000002,Bury,2012-01-01,NA,Electric vehicles
E08000003,Manchester,2012-01-01,23,Electric vehicles
E08000004,Oldham,2012-01-01,7,Electric vehicles
E08000005,Rochdale,2012-01-01,NA,Electric vehicles
E08000006,Salford,2012-01-01,45,Electric vehicles
E08000007,Stockport,2012-01-01,16,Electric vehicles
E08000008,Tameside,2012-01-01,NA,Electric vehicles
E08000009,Trafford,2012-01-01,11,Electric vehicles
E08000010,Wigan,2012-01-01,28,Electric vehicles
E08000001,Bolton,2011-10-01,7,Electric vehicles
E08000002,Bury,2011-10-01,NA,Electric vehicles
E08000003,Manchester,2011-10-01,22,Electric vehicles
E08000004,Oldham,2011-10-01,9,Electric vehicles
E08000005,Rochdale,2011-10-01,NA,Electric vehicles
E08000006,Salford,2011-10-01,43,Electric vehicles
E08000007,Stockport,2011-10-01,15,Electric vehicles
E08000008,Tameside,2011-10-01,NA,Electric vehicles
E08000009,Trafford,2011-10-01,10,Electric vehicles
E08000010,Wigan,2011-10-01,29,Electric vehicles
